,,,,,,,,,,,,,,,,,
id,"Bulding or
Factory",Division,Section,Area,PC Name,"PC Type
PC,
NB,
WS,
Other","Maker 
& Model","Serial Number
CPU","User 
owner",OS Use,License/Free,Window License ,OS License ,"MS 
Office ",Version,"Legally 
purchase
Yes,
No,
Free","Refer Document
If Yes,
Cert,
P/O,
REQ"
112,Spindle,Spindle Assembly,Production,Co2,CO2.-014,PC,-,-,Production,Win10,Yes,QN3F9-MC3PR-H4V8M-P3VDR-8B49C,Win10,-,-,-,
113,Spindle,Spindle Assembly,Production,Co2,CO2.-015,PC,-,-,Production,Win10,Yes,JG27N-8QRG2-JD499-6YFJJ-78RC2,Win10,-,-,-,
114,Spindle,Spindle Assembly,Production,Co2,CO2.-016,PC,-,-,Production,Win10,Yes,WRJ9F-DNRPP-2G8YW-72MQM-HT9TP,Win10,-,-,-,
115,Spindle,Spindle Assembly,Production,Co2,CO2.-017,PC,-,-,Production,Win10,Yes,GNPR3-K8QRK-87QFJ-FQRKX-CDKTP,Win10,-,-,-,
116,Spindle,Spindle Assembly,Production,Co2,CO2.-018,PC,-,-,Production,Win10,Yes,J4PNB-TBHVX-KC762-GVCJ4-QGPKC,Win10,-,-,-,
117,Spindle,Spindle Assembly,Production,Co2,BAR.-750,PC,-,-,Production,Win10,Yes,YYMTN-WTXDE-8MPFC-P4GBS-6MT6R,Win10,"Excel,PowerPoint,Word",2013,No,
118,Spindle,Spindle Assembly,Production,Co2,BAR.-892,PC,DELL600G3,-,M/M PE,Win10,Yes,,Win10,Excel,2013,No,
119,Spindle,Spindle Assembly,Production,CO2,BAR.-465,PC,-,-,Production,Win10,Yes,8NQB7-MWFCV-FDKPW-278QY-39MP2,Win10,-,-,-,
120,Spindle,Spindle Assembly,Production,Packing C/R,BAR.-123,PC,-,-,Production,Win10,Yes,88CKF-N82BM-TQ2XG-FFDBT-722KF,Win10,-,-,-,
121,Spindle,Spindle Assembly,ENG,Tech ENG,VIB.-180,PC,-,-,ENG,WinXP,Yes,GPR29-CCHMW-HYDFC-GVGW8-M6HDJ,WinXP,-,-,-,
122,Spindle,Spindle Assembly,ENG,Tech ENG,BAR.-014,PC,Dell 755,-,ENG,Win7,Free,7PXBC-4PY3K-977W9-T76FY-P7K9G,WinVistra,"Excel,PowerPoint,Word",2007,No,
123,Spindle,Spindle Assembly,ENG,Tech ENG,BAR.-554,PC,Dell 755,-,ENG,Win7,Free,TWBB6-TQDTY-HMJQY-2X896-4V7WJ,Win7,"Excel,Access",2007,No,
